Account_Number,Account_Type,Final_Decision,Current_Delinquency_status,Application_Date,Application_Score,Cheque_Card_Flag,Existing_Customer_Flag,Gross_Annual_Income,Home_Telephone_Number,Insurance_Required,Loan_Amount,Loan_Payment_Frequency,Loan_Payment_Method,Marital_Status,Number_of_Dependants,Number_of_Payments,Occupation_Code,Promotion_Type,Residential_Status,Time_at_Address,Time_in_Employment,Time_with_Bank,Weight_Factor,GB_Flag,Age_of_Applicant,Application_Month,Bureau_Score,SP_ER_Reference,SP_Number_Of_Searches_L6M,SP_Number_of_CCJs,Loan_to_income,split
10514876556,VL,Accept,1,20060312,940,Y,N,25000,Y,N,9900,M,Q,M,2,999,B,OT,H,500,306,909,2,Good,33,200603,941,1,0,0,39.6,Development
10640844166,FL,Accept,0,20060618,985,Y,Y,14000,Y,Y,4000,M,B,S,0,999,B,RR,H,300,1800,1209,2,Good,44,200606,961,1,2,0,28.57,Development
10932362349,VL,Accept,0,20060804,965,Y,N,18000,Y,N,5000,M,B,M,3,999,B,RR,T,106,1800,1210,2,Good,35,200608,999,1,5,0,27.78,Development
10276673518,FL,Accept,1,20070126,960,N,N,8000,Y,Y,706,M,B,S,0,12,M,RR,T,2,206,411,2,Good,22,200701,881,1,3,0,8.83,Development
10501295948,VL,Accept,1,20060517,960,Y,N,20000,Y,Y,1000,W,Q,M,0,999,B,RR,H,706,1003,1205,2,Good,50,200605,946,1,0,0,5,Development
10952897373,FL,Accept,1,20061010,960,Y,N,15000,Y,N,4000,M,S,M,1,999,M,RR,H,300,1400,401,2,Good,34,200610,943,4,0,0,26.67,Development
10908337660,FL,Accept,5,20070109,900,N,N,9000,Y,Y,4713,W,B,M,1,48,M,RR,T,502,903,503,2.5,Bad,35,200701,900,1,1,0,52.37,Development
10997648464,FL,Accept,1,20060922,950,N,N,13000,Y,N,1500,M,B,S,0,18,B,RR,O,300,802,803,2,Good,27,200609,952,1,2,0,11.54,Development
10481242145,VL,Accept,1,20060523,955,Y,N,13000,Y,N,5000,W,Q,M,3,999,M,RR,H,1200,1000,1202,2,Good,51,200605,946,1,1,0,38.46,Development
10597057716,FL,Accept,2,20061110,965,N,N,0,Y,N,525,,,W,2,12,P,RR,T,2000,0,803,2,Indeterminate,66,200611,925,1,0,0,-9999997,Development
10632413494,VL,Accept,,20061221,825,N,N,8000,Y,Y,1000,M,B,S,0,999,B,RR,O,2211,2,104,2,NTU,22,200612,840,1,7,0,12.5,Development
10896305243,FL,Accept,1,20060431,905,N,N,14500,Y,N,2000,W,B,M,0,42,M,RR,H,2900,206,305,2,Good,29,200604,917,4,0,0,13.79,Development
10324892199,VL,Accept,1,20060617,945,Y,N,35500,Y,N,4500,M,B,M,1,999,B,RR,H,2200,6,1304,2,Good,52,200606,1015,1,0,0,12.68,Development
10542085778,FL,Accept,0,20060921,965,Y,Y,16957,Y,N,5000,M,B,M,2,36,M,RR,H,500,400,1101,2,Good,31,200609,1013,1,1,0,29.49,Development
10550331373,FL,Accept,0,20061222,985,Y,N,25000,Y,N,10000,M,B,M,2,999,B,RR,H,710,1903,1207,2,Good,36,200612,1013,1,3,0,40,Development
10051597140,FL,Accept,,20060626,920,N,N,14000,Y,N,5500,W,Q,M,0,999,M,OT,H,300,700,903,2,NTU,31,200606,933,1,1,0,39.29,Development
10718121688,VL,Accept,,20061016,880,Y,N,16000,Y,Y,1000,M,B,S,0,999,B,RR,O,201,109,211,2,NTU,24,200610,840,1,0,0,6.25,Development
10049306975,FL,Accept,1,20060704,920,Y,N,12000,Y,N,5000,M,B,M,1,999,O,RR,H,201,100,302,2,Good,45,200607,986,1,3,0,41.67,Development
10704729110,FL,Accept,0,20060725,965,Y,N,13000,Y,N,2500,M,B,S,0,18,M,RR,H,202,406,111,2,Good,22,200607,904,2,2,0,19.23,Development
10090130280,FL,Accept,1,20060928,960,Y,Y,16000,Y,N,7900,M,B,S,0,999,B,RR,H,601,1106,208,2,Good,33,200609,939,2,2,0,49.38,Development
10390363504,FL,Accept,1,20061020,960,Y,N,36000,N,N,6000,M,B,M,0,999,B,RR,H,1000,806,1011,2,Good,37,200610,1013,4,3,0,16.67,Development
10324062758,FL,Accept,1,20070122,950,N,N,16000,Y,N,6000,M,B,M,2,999,B,RR,H,1300,1500,507,2,Good,30,200701,967,1,1,0,37.5,Development
10736619925,FL,Accept,1,20060718,680,N,N,11750,Y,Y,3750,W,Q,S,0,999,O,RR,H,206,206,6,2,Good,27,200607,795,2,5,0,31.91,Development
10238969423,FL,Accept,,20061103,930,Y,N,16500,Y,Y,1500,M,B,M,1,0,M,RR,H,301,708,9,2,NTU,34,200611,860,2,0,0,9.09,Development
10784062119,FL,Accept,1,20060312,955,Y,N,13000,Y,Y,15100,W,Q,M,4,18,M,RR,T,201,1700,1002,2,Good,37,200603,891,1,5,0,116.15,Development
10763769730,FL,Accept,0,20060804,1005,Y,N,30000,Y,N,5000,M,B,M,0,999,P,OT,H,900,806,1209,2,Good,66,200608,1058,1,5,0,16.67,Development
10187942723,FL,Accept,0,20061023,985,Y,N,21000,Y,N,5000,M,B,M,1,36,B,RR,H,1,3300,403,2,Good,51,200610,1042,2,5,0,23.81,Development
10068274934,FL,Accept,1,20060312,910,N,N,11500,Y,Y,17400,X,Q,M,2,18,M,OT,T,5,500,408,2,Good,40,200603,937,2,1,0,151.3,Development
10466538730,FL,Accept,0,20061118,975,Y,Y,70000,Y,N,6000,X,X,M,2,999,B,RR,H,500,500,410,2,Good,44,200611,1005,1,5,0,8.57,Development
10657972924,FL,Accept,0,20060208,1010,Y,N,22000,Y,N,5500,M,B,M,2,42,P,RR,H,1400,2000,1202,2,Good,45,200602,983,1,0,0,25,Development
10473390744,FL,Accept,0,20060711,965,Y,N,16384,Y,Y,116100,M,B,M,0,60,B,RR,H,1,102,304,2,Good,25,200607,975,4,6,0,708.62,Development
10489251622,VL,Accept,1,20060928,905,Y,N,8000,Y,Y,1000,W,B,S,0,999,B,RR,O,400,200,101,2,Good,21,200609,867,1,0,0,12.5,Development
10141176117,FL,Accept,,20060607,980,Y,N,25000,Y,N,10000,M,B,S,0,0,B,RR,H,202,1000,912,2,NTU,28,200606,1010,1,1,0,40,Development
10736843252,FL,Accept,0,20060320,1030,N,N,22000,Y,N,1000,M,B,S,0,12,P,RR,H,300,300,1904,2,Good,42,200603,983,1,0,0,4.55,Development
10768608104,FL,Accept,0,20060724,965,Y,N,37000,Y,Y,10000,M,B,M,3,999,M,RR,H,1000,200,1201,2,Good,48,200607,1005,1,7,0,27.03,Development
10543007837,FL,Decline,,20061005,740,N,N,3360,Y,Y,652,F,Q,Z,1,12,M,RR,T,1604,100,112,2,Rejects,37,200610,791,3,0,0,19.4,Development
10058894696,FL,Accept,0,20070116,975,Y,N,23709,Y,N,4000,M,B,Z,0,999,P,RR,H,203,600,203,2,Good,45,200701,943,1,1,0,16.87,Development
10034550869,VL,Accept,0,20060510,965,Y,Y,40000,Y,N,10000,M,B,M,2,999,B,RR,H,102,202,907,2,Good,34,200605,971,4,2,0,25,Development
10435551419,VL,Accept,1,20061122,945,Y,N,15500,Y,N,2500,M,B,S,0,999,P,RR,H,7,5,509,2,Good,25,200611,924,2,2,0,16.13,Development
10316526862,FL,Accept,1,20060705,780,N,N,0,Y,N,1000,,,M,0,24,O,OT,T,1500,0,109,2,Good,56,200607,816,2,0,0,-9999997,Development
10960618823,FL,Accept,0,20060418,985,Y,Y,35000,Y,N,10000,M,B,M,3,999,B,RR,H,701,2001,2110,2,Good,36,200604,1002,1,4,0,28.57,Development
10665361807,VL,Accept,1,20060313,915,Y,N,15000,N,Y,4500,W,Q,M,1,999,M,AD,T,2500,803,408,2,Good,25,200603,891,1,1,0,30,Development
10740379650,FL,Accept,0,20061010,980,Y,N,50000,Y,N,15000,F,Q,M,2,999,M,RR,H,800,1000,1211,2,Good,50,200610,978,1,1,0,30,Development
10223737419,FL,Accept,1,20060211,960,Y,N,12000,Y,Y,50700,W,B,M,2,30,M,RR,H,6,1300,712,2,Good,35,200602,917,2,3,0,422.5,Development
10339999272,VL,Accept,0,20060801,985,Y,N,36000,Y,N,7250,M,B,M,3,999,B,RR,H,800,1400,808,2,Good,36,200608,998,2,1,0,20.14,Development
10641535370,VL,Accept,0,20061108,985,Y,Y,46500,Y,Y,10000,M,B,M,4,999,P,RR,H,1302,1909,1,2,Good,45,200611,891,1,5,0,21.51,Development
10297822962,FL,Accept,1,20060228,925,Y,N,11000,Y,N,3000,W,B,M,2,36,B,RR,H,103,406,103,2,Good,33,200602,875,1,0,0,27.27,Development
10562094687,FL,Accept,0,20070102,985,Y,N,22000,Y,N,2600,X,X,M,3,999,M,RR,H,400,1500,1208,2,Good,34,200701,976,1,1,0,11.82,Development
10326124664,VL,Accept,1,20060507,940,Y,N,12000,Y,N,3000,W,S,S,0,999,M,RR,H,3100,102,904,2,Good,32,200605,917,1,0,0,25,Development
10231363730,VL,Accept,1,20060529,925,N,N,11500,Y,Y,2000,W,Q,M,0,999,B,RR,H,1305,1400,505,2,Good,53,200605,937,1,1,0,17.39,Development
10326385250,FL,Accept,0,20070109,985,Y,N,10000,Y,N,9500,W,B,M,1,999,M,RR,H,300,1800,1212,2,Good,38,200701,1009,1,5,0,95,Development
10946029283,FL,Accept,1,20060216,890,N,N,0,Y,N,500,,,W,0,12,P,OT,T,109,0,1104,2,Good,61,200602,931,1,0,1,-9999997,Development
10159550532,FL,Accept,0,20061118,1020,Y,N,7500,N,Y,815,W,B,M,0,12,M,RR,T,3800,2000,1302,2,Good,58,200611,960,1,3,0,10.87,Development
10678990282,VL,Decline,,20061125,710,Y,N,7890,N,Y,5500,W,S,S,0,999,B,RR,O,2200,202,204,2,Rejects,22,200611,734,3,0,0,69.71,Development
10073638440,VL,Accept,1,20060725,795,N,N,13960,Y,N,3500,W,Q,S,0,999,M,AD,O,2901,206,308,2,Good,29,200607,918,1,1,2,25.07,Development
10911719842,VL,Accept,1,20060621,960,Y,N,9500,Y,N,3000,M,B,S,0,999,P,OT,O,600,1,807,2,Good,21,200606,987,1,2,0,31.58,Development
10463503408,VL,Accept,2,20060626,965,Y,N,43000,Y,N,1500,M,B,S,0,999,B,RR,H,2400,303,409,2,Indeterminate,24,200606,1010,1,1,0,3.49,Development
10131712745,VL,Accept,0,20060617,975,N,N,12500,Y,Y,1800,M,B,Z,1,999,P,RR,H,2600,2300,1208,2,Good,52,200606,975,1,2,0,14.4,Development
10914651446,VL,Accept,2,20060204,940,Y,N,20000,Y,Y,9500,M,B,S,0,999,B,RR,H,300,300,107,2,Indeterminate,25,200602,901,2,3,0,47.5,Development
10518353569,VL,Accept,,20061227,1005,Y,N,18906,Y,Y,2500,M,B,M,0,999,P,OT,H,1600,1000,812,2,NTU,52,200612,1006,1,1,0,13.22,Development
10896791477,VL,Decline,,20060605,685,N,N,6000,Y,Y,3230,F,B,M,2,999,M,OT,T,600,200,202,2,Rejects,31,200606,728,3,0,0,53.83,Development
10650211307,FL,Accept,0,20060807,1025,Y,N,11836,Y,N,1000,M,B,S,0,12,P,RR,T,3,3,907,2,Good,21,200608,953,2,1,0,8.45,Development
10562966539,FL,Accept,0,20060320,1055,Y,N,9000,Y,N,600,M,B,M,2,12,B,RR,H,906,800,1001,2,Good,33,200603,971,1,2,0,6.67,Development
10856304609,FL,Accept,0,20060804,985,Y,N,30000,Y,N,7890,X,X,M,4,999,M,RR,H,1000,1109,1005,2,Good,36,200608,991,1,1,0,26.3,Development
10138230486,FL,Accept,0,20061204,970,N,N,10000,Y,Y,540,W,B,S,0,6,M,RR,O,3508,303,1301,2,Good,35,200612,911,1,0,0,5.4,Development
10224615231,FL,Accept,0,20060209,985,Y,N,13400,Y,Y,92700,M,B,M,0,36,B,RR,H,802,1403,1209,2,Good,31,200602,1003,1,1,0,691.79,Development
10575343265,VL,Accept,1,20070111,895,N,N,20000,Y,N,7450,W,Q,M,0,999,M,RR,H,100,1000,205,2,Good,27,200701,862,1,2,0,37.25,Development
10914316298,FL,Accept,1,20060621,940,Y,N,13000,Y,Y,5700,W,Q,M,1,12,M,AD,H,1200,104,1,2,Good,35,200606,814,1,2,0,43.85,Development
10596636779,FL,Accept,,20061023,875,N,N,4264,Y,Y,1084,W,Q,S,0,12,B,OT,O,1900,100,111,2,NTU,19,200610,809,1,3,0,25.42,Development
10016892099,FL,Accept,,20061010,985,Y,N,8320,Y,N,5000,W,S,M,0,36,M,RR,H,2301,1609,1301,2,NTU,48,200610,954,1,5,0,60.1,Development
10342605237,FL,Accept,0,20060311,985,Y,N,18000,Y,,0,M,B,M,3,999,B,RR,H,1200,2100,2005,2,Good,38,200603,1003,1,1,0,-9999998,Development
10832775847,FL,Accept,1,20060418,685,N,N,9030,Y,N,4000,W,S,M,1,36,M,RR,T,203,203,112,2,Good,35,200604,727,2,0,0,44.3,Development
10673560829,FL,Accept,1,20060821,925,N,N,11500,Y,N,500,M,B,S,0,12,B,RR,O,600,100,212,2,Good,22,200608,869,1,2,0,4.35,Development
10637852662,FL,Accept,1,20061124,910,N,N,12000,Y,Y,760,F,B,S,4,12,M,RR,T,508,208,201,2,Good,35,200611,833,1,2,0,6.33,Development
10578461130,FL,Accept,1,20070112,895,N,N,11000,Y,Y,2299,W,S,S,0,30,M,RR,H,600,1000,301,2,Good,29,200701,871,4,0,0,20.9,Development
10708644506,FL,Accept,0,20060721,965,Y,N,14000,Y,Y,3528,W,Q,M,2,24,M,RR,H,1500,600,1308,2,Good,35,200607,942,1,0,0,25.2,Development
10053572522,FL,Accept,1,20070126,940,N,N,9500,N,N,1000,W,B,M,2,12,M,RR,H,500,1,204,2,Good,28,200701,892,1,1,0,10.53,Development
10075286760,FL,Decline,,20060214,685,N,N,11000,Y,Y,2900,W,B,M,2,0,M,RR,T,500,306,0,2,Rejects,26,200602,727,3,0,0,26.36,Development
10038573304,FL,Accept,,20060513,895,N,Y,0,N,N,500,,,Z,0,12,O,RR,T,2106,0,408,2,NTU,55,200605,944,1,1,0,-9999997,Development
10424952571,FL,Decline,,20060627,640,N,N,0,Y,Y,32300,,,D,0,36,O,OT,T,400,0,401,2,Rejects,47,200606,728,3,0,0,-9999997,Development
10306961712,FL,Accept,0,20061227,990,Y,N,6000,Y,Y,1663,F,B,M,0,18,M,RR,H,1500,500,1207,2,Good,54,200612,990,1,3,0,27.72,Development
10870782033,FL,Accept,6,20060215,970,Y,Y,9840,Y,Y,18400,W,S,S,0,12,O,RR,T,1100,400,302,2.5,Bad,29,200602,891,1,2,0,186.99,Development
10062328826,FL,Accept,,20060814,805,N,N,16000,Y,N,3750,W,S,M,2,999,B,RR,H,1500,400,703,2,NTU,44,200608,923,1,3,2,23.44,Development
10976408862,FL,Accept,1,20061123,905,N,N,16771,Y,Y,8589,M,B,D,0,54,M,RR,T,1206,3100,1308,2,Good,47,200611,904,1,1,0,51.21,Development
10587380220,FL,Accept,0,20060801,985,Y,N,25000,Y,N,6000,X,Q,M,2,999,M,RR,H,900,1300,1404,2,Good,40,200608,961,1,19,0,24,Development
10478456556,VL,Accept,1,20060326,920,Y,Y,15000,Y,N,1000,M,Q,M,0,999,P,RR,H,4,4,3,2,Good,25,200603,869,2,6,0,6.67,Development
10269477705,VL,Accept,1,20060510,955,Y,N,8000,Y,Y,2300,M,Q,S,0,999,B,OT,O,2200,202,303,2,Good,22,200605,972,4,2,0,28.75,Development
10180406807,FL,Accept,1,20070119,935,N,N,12500,Y,Y,1301,W,B,M,0,12,M,RR,T,204,208,209,2,Good,54,200701,858,1,1,0,10.41,Development
10176265143,FL,Decline,,20060215,810,N,N,9480,Y,N,700,M,B,S,1,0,B,RR,T,7,102,7,2,Rejects,19,200602,801,3,0,0,7.38,Development
10103867042,FL,Accept,1,20061221,900,Y,N,17500,Y,N,1000,M,B,M,2,999,P,RR,H,1700,500,5,2,Good,41,200612,913,1,1,1,5.71,Development
10076422600,FL,Accept,,20060822,985,Y,Y,21000,Y,N,7000,M,B,M,1,999,B,OT,H,106,1706,1205,2,NTU,41,200608,1025,1,1,0,33.33,Development
10392927510,VL,Accept,6,20060311,985,Y,N,39000,Y,N,7000,M,B,M,2,999,B,RR,H,306,1700,911,2.5,Bad,33,200603,971,1,3,0,17.95,Development
10350862858,FL,Accept,1,20061124,890,N,N,13000,Y,N,3000,W,Q,S,0,18,M,RR,O,2100,4,810,2,Good,21,200611,906,1,1,0,23.08,Development
10042207509,VL,Accept,1,20060326,950,N,N,18900,Y,N,5000,X,X,W,0,999,M,RR,H,1000,2000,903,2,Good,59,200603,970,1,0,0,26.46,Development
10374459396,FL,Decline,,20060622,915,Y,N,10000,Y,N,2000,M,B,M,2,24,M,AD,T,1206,1,101,2,Rejects,35,200606,886,1,0,0,20,Development
10848059112,VL,Accept,1,20061102,925,Y,N,11500,Y,N,2000,W,Q,S,0,999,B,RR,H,1000,500,303,2,Good,21,200611,871,2,0,0,17.39,Development
10051403777,FL,Accept,0,20060321,975,Y,N,18000,Y,N,2200,M,B,M,0,24,B,RR,H,0,1100,911,2,Good,27,200603,941,2,0,0,12.22,Development
10912598613,VL,Accept,1,20060724,895,N,N,13000,Y,Y,2000,W,Q,S,0,999,M,RR,O,2400,300,306,2,Good,24,200607,881,1,0,0,15.38,Development
10131010351,FL,Accept,0,20060906,1005,Y,N,15000,Y,N,1600,W,S,Z,4,12,B,RR,H,1500,705,110,2,Good,37,200609,879,1,0,0,10.67,Development
10248630629,FL,Accept,0,20060710,1005,Y,N,21400,Y,N,5000,M,B,M,3,999,P,RR,H,301,900,803,2,Good,38,200607,1029,1,3,0,23.36,Development
10577757546,FL,Accept,1,20061204,905,N,N,8000,Y,N,2000,W,S,M,1,24,M,OT,H,900,600,203,2,Good,58,200612,866,1,1,0,25,Development
10386691672,VL,Accept,,20060524,805,N,N,5600,Y,Y,1500,F,B,M,0,999,M,RR,H,3,306,3,2,NTU,44,200605,862,2,11,1,26.79,Development
10633543738,FL,Accept,1,20070129,920,N,N,9000,Y,Y,3761,W,B,M,0,24,M,RR,T,1900,2700,510,2,Good,59,200701,929,1,3,0,41.79,Development
10949583979,VL,Accept,2,20061024,905,N,N,9000,Y,Y,1200,W,B,M,0,999,M,RR,T,1200,1400,504,2,Indeterminate,51,200610,929,1,1,0,13.33,Development
10584764114,FL,Accept,1,20060528,940,Y,Y,31000,Y,N,4000,W,Q,M,0,999,M,RR,H,201,109,506,2,Good,32,200605,917,1,3,0,12.9,Development
10378363093,FL,Accept,,20060516,920,N,N,6000,Y,N,1300,W,B,M,0,24,M,OT,H,1900,108,1206,2,NTU,64,200605,933,1,0,0,21.67,Development
10283337917,FL,Accept,0,20070122,980,Y,N,33000,Y,N,5000,M,B,Z,2,36,B,RR,H,100,1000,1008,2,Good,30,200701,1024,2,0,0,15.15,Development
10548224330,VL,Accept,1,20060207,885,Y,N,9000,Y,Y,3000,W,B,S,0,999,O,RR,O,2108,7,905,2,Good,21,200602,904,1,3,0,33.33,Development
10878113355,FL,Accept,1,20061017,890,N,N,0,Y,N,13300,,,W,1,60,P,RR,T,100,0,1411,2,Good,60,200610,891,2,0,0,-9999997,Development
10708235177,FL,Accept,1,20060626,930,Y,N,9360,Y,Y,105200,W,Q,M,0,48,O,RR,H,6,601,301,2,Good,26,200606,927,4,0,0,1123.93,Development
10015323638,FL,Accept,1,20060530,935,Y,N,10400,Y,Y,24300,W,Q,M,0,24,M,RR,H,206,6,704,2,Good,28,200605,917,4,1,0,233.65,Development
10406636563,VL,Accept,,20060318,985,Y,N,25000,Y,N,7000,M,B,Z,3,999,B,OT,H,308,1200,1705,2,NTU,36,200603,1002,1,0,0,28,Development
10144343890,FL,Accept,0,20061219,970,Y,N,11500,Y,Y,4424,M,S,M,0,24,M,OT,H,300,700,412,2,Good,25,200612,921,1,0,0,38.47,Development
10042916324,VL,Accept,,20070112,985,Y,N,14000,Y,Y,5675,W,Q,M,3,999,M,OT,H,600,2000,410,2,NTU,49,200701,956,1,1,0,40.54,Development
10401473567,FL,Decline,,20060231,880,N,N,6344,Y,Y,500,W,S,S,0,0,O,OT,O,900,600,301,2,Rejects,23,200602,917,1,2,0,7.88,Development
10201455391,VL,Accept,1,20060909,885,N,N,10000,Y,Y,1000,W,B,M,2,999,M,RR,H,900,8,610,2,Good,34,200609,914,1,0,0,10,Development
10311761317,FL,Accept,0,20060431,990,N,N,9500,Y,Y,5700,M,Q,M,2,12,M,RR,H,306,504,1008,2,Good,28,200604,941,1,3,0,60,Development
10437972542,VL,Accept,,20070104,895,N,N,16500,Y,N,3500,M,B,S,0,999,M,RR,O,802,200,701,2,NTU,24,200701,940,1,0,0,21.21,Development
10116862197,VL,Accept,2,20060319,935,Y,N,10000,Y,N,1000,W,B,M,1,999,M,RR,H,201,1200,110,2,Indeterminate,31,200603,846,2,1,0,10,Development
10255677502,FL,Decline,,20060210,805,N,N,12000,Y,Y,1500,M,B,M,2,0,B,RR,H,500,203,203,2,Rejects,35,200602,870,4,0,1,12.5,Development
10579017029,FL,Accept,1,20060327,895,N,N,7500,Y,Y,34000,W,B,S,0,36,M,OT,O,700,109,404,2,Good,21,200603,904,1,2,0,453.33,Development
10576213927,VL,Accept,1,20060816,895,N,N,8500,Y,N,2500,W,B,S,0,999,M,RR,O,300,200,406,2,Good,24,200608,913,1,0,0,29.41,Development
10589018273,VL,Accept,1,20061105,915,N,N,10400,Y,N,2600,W,B,M,0,999,M,RR,H,101,500,406,2,Good,28,200611,941,1,1,0,25,Development
10538561929,FL,Accept,0,20060908,985,Y,Y,22000,Y,N,2500,F,B,M,0,999,B,RR,H,206,1400,911,2,Good,38,200609,1013,4,1,0,11.36,Development
10306282412,VL,Accept,1,20060230,950,Y,N,12000,Y,N,5000,W,B,S,0,999,M,RR,O,3100,1500,1107,2,Good,31,200602,947,1,0,0,41.67,Development
10050798081,FL,Accept,1,20060325,940,Y,N,15232,Y,Y,31000,W,B,Z,0,30,M,OT,H,206,106,608,2,Good,36,200603,926,2,1,0,203.52,Development
10588132005,VL,Accept,,20061118,930,Y,N,10000,Y,Y,7500,M,B,S,0,999,M,OT,O,2800,201,612,2,NTU,29,200611,946,1,3,0,75,Development
10375516721,FL,Decline,,20060330,740,N,N,10000,Y,Y,9200,W,B,M,3,12,M,RR,T,509,100,6,2,Rejects,31,200603,790,3,0,0,92,Development
10427554089,FL,Accept,,20060719,950,Y,Y,9500,Y,N,7750,M,B,M,0,999,B,RR,H,201,403,205,2,NTU,23,200607,933,4,0,0,81.58,Development
10372077253,FL,Accept,0,20061122,975,Y,N,17000,Y,Y,2965,M,B,M,0,24,B,RR,H,700,1100,910,2,Good,32,200611,883,1,9,0,17.44,Development
10051977966,VL,Accept,5,20060507,930,N,N,8300,Y,N,2500,M,S,M,0,999,M,RR,H,2000,300,1204,2.5,Bad,58,200605,970,1,0,0,30.12,Development
10924619635,FL,Accept,0,20060712,985,Y,N,16000,Y,N,1050,M,B,M,4,999,M,RR,H,800,2507,1008,2,Good,42,200607,1013,1,7,0,6.56,Development
10034500332,VL,Accept,,20060208,940,Y,N,9000,Y,N,2000,W,B,M,0,999,M,RR,H,300,106,308,2,NTU,26,200602,904,1,1,0,22.22,Development
10609001322,VL,Accept,,20070101,870,N,N,6000,Y,N,2000,M,B,S,0,999,B,RR,O,2200,102,102,2,NTU,24,200701,878,1,5,0,33.33,Development
10624036494,VL,Accept,1,20061104,955,Y,N,12000,Y,Y,2000,W,S,M,2,999,M,RR,H,500,1000,409,2,Good,35,200611,917,1,1,0,16.67,Development
10481643164,FL,Accept,1,20061204,895,Y,N,2400,Y,N,2500,W,B,M,2,36,O,RR,H,400,10,112,2,Good,31,200612,911,1,0,0,104.17,Development
10264982276,FL,Accept,0,20060821,985,Y,N,17000,Y,N,4000,M,B,M,1,42,M,RR,H,1000,1303,1206,2,Good,53,200608,1042,1,4,0,23.53,Development
10303708750,FL,Accept,,20060902,1000,Y,Y,40000,Y,N,9400,M,X,M,2,24,B,RR,H,400,1200,312,2,NTU,30,200609,1013,1,7,0,23.5,Development
10524150167,FL,Decline,,20060231,780,N,N,15000,Y,N,1000,M,B,M,0,12,M,OT,O,200,600,206,2,Rejects,50,200602,768,3,0,0,6.67,Development
10145623547,FL,Accept,1,20060817,920,N,N,12000,Y,Y,2560,M,B,S,0,24,B,RR,H,402,204,304,2,Good,22,200608,930,1,2,0,21.33,Development
10148921168,VL,Accept,0,20061020,975,Y,N,10000,Y,N,7000,M,B,M,1,999,M,RR,H,206,500,608,2,Good,28,200610,998,1,0,0,70,Development
10320141754,VL,Accept,,20061131,950,Y,Y,17000,Y,N,7000,M,B,S,0,999,B,RR,H,300,403,504,2,NTU,28,200611,919,1,3,0,41.18,Development
10575317320,VL,Accept,,20061222,985,Y,N,30000,Y,N,10000,F,Q,M,0,999,B,RR,H,200,1800,1304,2,NTU,53,200612,1012,1,3,0,33.33,Development
10430500175,FL,Accept,0,20061129,965,Y,N,450,Y,Y,10000,M,B,S,0,999,B,RR,H,303,306,304,2,Good,29,200611,973,1,1,0,2222.22,Development
10551074229,VL,Accept,4,20060314,895,N,N,15000,Y,N,4200,X,Q,M,0,999,M,RR,H,300,800,207,2.5,Bad,24,200603,870,2,5,0,28,Development
10532827518,VL,Accept,1,20061205,905,Y,N,15000,Y,Y,2800,M,B,S,0,999,M,RR,O,2000,200,203,2,Good,24,200612,863,1,1,0,18.67,Development
